model,condition,bin,n_baseline,n_treatment,meandiff_engagement_score,meandiff_difficulty_delta
QwenVL-7B,gaze_aversion,20-30%,100,100,0.76,0.237
QwenVL-7B,gaze_aversion,30-40%,100,100,0.1,0.0145
QwenVL-7B,gaze_aversion,40-50%,100,100,-0.14,0.0155
QwenVL-7B,gaze_aversion,50-60%,100,100,-0.74,0.005
QwenVL-7B,gaze_aversion,60-70%,100,100,0.0,0.0075
QwenVL-7B,gaze_aversion,70-80%,100,100,-1.14,0.0135
QwenVL-7B,gaze_aversion,80-90%,100,100,-1.88,0.016
QwenVL-7B,gaze_aversion,90-100%,100,100,-0.51,0.0265
QwenVL-7B,direct_gaze_explicit,0-10%,100,100,1.79,0.16
QwenVL-7B,direct_gaze_explicit,10-20%,100,100,2.01,0.182
QwenVL-7B,direct_gaze_explicit,20-30%,100,100,1.47,0.0975
QwenVL-7B,direct_gaze_explicit,30-40%,100,100,0.82,0.0075
QwenVL-7B,direct_gaze_explicit,40-50%,100,100,0.83,0.0065
QwenVL-7B,direct_gaze_explicit,50-60%,100,100,0.61,0.0035
QwenVL-7B,direct_gaze_explicit,60-70%,100,100,0.8,0.005
QwenVL-7B,direct_gaze_explicit,70-80%,100,100,0.07,0.006
QwenVL-7B,direct_gaze_explicit,80-90%,100,100,0.2,0.01
QwenVL-7B,direct_gaze_explicit,90-100%,100,100,-0.15,-0.126
Qwen2.5-VL-32B,gaze_aversion,0-10%,100,100,3.23,0.4045
Qwen2.5-VL-32B,gaze_aversion,10-20%,100,100,2.72,0.8015
Qwen2.5-VL-32B,gaze_aversion,20-30%,100,100,2.93,0.6945
Qwen2.5-VL-32B,gaze_aversion,30-40%,100,100,1.7,0.631
Qwen2.5-VL-32B,gaze_aversion,40-50%,100,100,0.93,0.0
Qwen2.5-VL-32B,gaze_aversion,50-60%,100,100,0.91,0.0225
Qwen2.5-VL-32B,gaze_aversion,60-70%,100,100,0.08,-0.017
Qwen2.5-VL-32B,gaze_aversion,70-80%,100,100,0.07,-0.0565
Qwen2.5-VL-32B,gaze_aversion,80-90%,100,100,-0.33,-0.1065
Qwen2.5-VL-32B,gaze_aversion,90-100%,100,100,-0.09,-0.1645
Qwen2.5-VL-32B,direct_gaze_explicit,0-10%,100,100,0.26,0.01
Qwen2.5-VL-32B,direct_gaze_explicit,10-20%,100,100,0.16,0.0145
Qwen2.5-VL-32B,direct_gaze_explicit,20-30%,100,100,0.21,-0.001
Qwen2.5-VL-32B,direct_gaze_explicit,30-40%,100,100,0.42,0.0135
Qwen2.5-VL-32B,direct_gaze_explicit,40-50%,100,100,0.24,0.0
Qwen2.5-VL-32B,direct_gaze_explicit,50-60%,100,100,0.63,0.0175
Qwen2.5-VL-32B,direct_gaze_explicit,60-70%,100,100,0.1,-0.009
Qwen2.5-VL-32B,direct_gaze_explicit,70-80%,100,100,0.07,-0.0305
Qwen2.5-VL-32B,direct_gaze_explicit,80-90%,100,100,1.03,-0.0855
Qwen2.5-VL-32B,direct_gaze_explicit,90-100%,100,100,0.35,-0.018
